1.70995,1.31733,1.31733
0.51493,1.77271,1.77271
0.71760,0.70795,0.70795
1.26247,0.33348,0.33348
0.16168,1.90571,1.90571
1.95590,0.95181,0.95181
0.98543,1.17086,1.17086
12.70992,0.64788,0.64788
2.11148,1.63068,1.63068
2.27401,0.55161,0.55161
3.76932,1.04548,1.04548
10.07343,1.25965,1.25965
2.06700,0.20255,0.20255
11.84453,0.46700,0.46700
1.20249,0.94794,0.94794
7.21168,0.75903,0.75903
4.28113,0.65850,0.65850
1.47548,0.87993,0.69111
13.18776,0.57172,0.57172
1.32069,0.27594,0.27594
1.11186,1.64397,1.64397
2.28386,1.46724,1.46724
1.69918,0.89827,0.89827
8.48079,0.47434,0.47434
3.90062,0.48633,0.48633
12.80619,0.20782,0.20782
3.37637,0.94205,0.94205
0.08508,0.77586,0.77586
0.77161,0.88554,0.88554
2.27109,1.55568,1.55568
8.81608,0.34633,0.34633
2.44288,0.60502,0.60502
1.73806,1.07739,1.07739
2.89055,0.38850,0.38850
7.98207,0.63890,0.63890
3.97269,1.52646,1.52646
4.18664,0.33443,0.33443
2.02730,0.54960,0.54960
1.96182,1.97121,1.97121
0.49263,0.57468,0.57468
5.28073,0.43345,0.43345
5.79434,0.19131,0.19131
