6.25349,4.25256,2.11943,1.42312
10.27854,5.06068,4.48213,1.64744
8.79880,1.40755,5.62447,1.57057
4.37065,2.20556,3.65340,1.60881
3.85518,2.07530,3.91932,1.58361
5.48098,3.03561,4.34462,1.93844
2.57011,2.53742,2.35900,0.83021
4.67554,2.98398,5.14302,4.01763
6.74382,4.94052,2.24749,1.19671
2.79561,1.19420,1.90471,0.36590
5.39402,3.89557,4.23365,3.06155
14.54562,9.90730,15.61890,11.63661
1.45961,0.80306,1.42600,0.55122
3.04914,2.29946,3.66834,3.23396
5.18422,3.08348,3.53882,1.22762
7.09620,2.76667,5.28372,3.72769
8.24914,3.37959,8.14746,3.08850
4.94170,1.59964,2.38310,1.51476
4.24420,1.89139,3.46178,2.13179
1.74404,0.76494,2.50707,0.83705
5.87063,4.10887,3.37424,2.31923
13.83759,8.72484,14.16291,10.89044
5.92686,4.07233,4.50059,3.61729
2.69813,2.02038,2.99222,2.40155
2.72933,1.51745,3.05963,1.74700
1.52309,0.74222,1.55832,0.70980
7.02170,4.22131,4.66540,3.14838
5.03322,2.80448,2.52115,0.93247
5.31923,3.56374,1.84518,0.24081
4.24403,4.33919,1.07471,0.25534
2.61830,1.39189,2.43393,0.97379
5.69643,1.68175,4.69098,2.18041
2.71507,3.84598,2.88804,2.22642
4.02315,1.62334,3.23699,0.90857
4.17274,1.89144,3.70109,2.54516
7.08088,3.28404,2.68593,1.52913
4.78777,1.32189,3.89785,1.43083
3.21276,1.64523,2.13731,0.78961
11.24573,6.17439,7.10691,3.95956
5.89629,1.88898,5.18411,1.14744
3.18773,1.76148,3.44466,2.60604
1.73652,0.83053,1.44330,0.69840
